,sport,school,coach
352,baseball,Breckenridge,Sebastion San Miguel
353,baseball,Brethren,Julie Riggs
354,baseball,Calvary,MItch Overway
355,baseball,Camden-Frontier,Jason Holubik
356,baseball,Carson City-Crystal,Travis Wilcox
357,baseball,Carsonville-Port Sanilac,Tim Roberts
358,baseball,Catholic Central,Nick Fortier
359,baseball,Central Lake,Donavan Eggleston
360,baseball,Climax-Scotts,Chip Paddock
361,baseball,Coleman,Dave Mammel
362,baseball,Concord,Max Clark
363,baseball,Crossroads Charter Academy,Jim Davis
364,baseball,Dansville,mike sykes
365,baseball,Decatur,Ben Botti
366,baseball,Dryden,Mattew Lopez
367,baseball,East Jordan,Tom Reid
368,baseball,Frankfort,Mike Zimmerman
369,baseball,Fulton,Derek Kresge
370,baseball,Genesee,Brad Brown
371,baseball,Glen Lake,Kris Herman
372,baseball,Gobles,James Wiseley
373,baseball,Hale,Ben Murphy
374,baseball,Harbor Beach,Dan Brown
375,baseball,Hillman,Lonny Kent
376,baseball,Howardsville Christian,Randy Ford
377,baseball,Hudson,Jeremy Beal
378,baseball,Huron Valley Lutheran,Neil Schliewe
379,baseball,Inter-City Baptist,Bob Radu
380,baseball,Johannesburg-Lewiston,Rick Guild
381,baseball,Landmark Academy,Kevin Moran
382,baseball,Lawrence,Dale Gribler
383,baseball,Lenawee Christian,Aric Carpenter
384,baseball,Lutheran,Kevin Wade
385,baseball,Marcellus,Christian Hutson
386,baseball,Martin,Kyle Wartella
387,baseball,Mendon,Glen Samson
388,baseball,Merrill,David DeBeau
389,baseball,Mesick,Josh Crocker
390,baseball,Mio-Au Sable,Joel Devers
391,baseball,Morrice,Justin Stawara
392,baseball,Muskegon Catholic Central,Steve Schuitema
393,baseball,New Buffalo,Wayne Butler
394,baseball,North Adams-Jerome,Ernie Arno
395,baseball,North Central,Kyle Durow
396,baseball,North Huron,Travis Fischer
397,baseball,Norway,Tony Adams
398,baseball,Nouvel Catholic Central,Dave Horny
399,baseball,Novi Christian Academy,Mike Harris
400,baseball,Onaway,Tony Hoffmeyer
401,baseball,Onekama,John Neph
402,baseball,Our Lady of the Lakes,Greg Alvis
403,baseball,Owendale-Gagetown,Brian Wright
404,baseball,Parkway Christian,Bob Halaas
405,baseball,Pellston,Randy Bricker Jr.
406,baseball,Pentwater,Richard Magrath
407,baseball,Pittsford,Chris Hodos
408,baseball,River Valley,David Sokolowski
409,baseball,Roeper,todd Dunfield
410,baseball,Sacred Heart Academy,Earl Hartman
411,baseball,Saranac,Jason Smith
412,baseball,Shrine Catholic,Dan Noble
413,baseball,Southeastern,Carnelle Humphries
414,baseball,Southfield Christian,Ray Gilson
415,baseball,St. Patrick,Bryan Scheurer
416,baseball,Summerfield,Darrell Polter
417,baseball,Suttons Bay,Aaron Orban
418,baseball,Trillium Academy,Mike Turner
419,baseball,Tri-Unity Christian,Ted Titus
420,baseball,Ubly,James Becker
421,baseball,Unionville-Sebewaing,Tyler Bader
422,baseball,Waldron,James Rolen
423,baseball,Walkerville,Thomas Failing
424,baseball,Webberville,Lonney Norton
425,baseball,Wright,Dan Niemi
426,baseball,Black River,Tim Marroquin
427,baseball,Calvary,MItch Overway
428,baseball,Tri-Unity Christian,Ted Titus
429,baseball,West Michigan Lutheran,Malik Baker
430,baseball,Athens,Merl Smith
431,baseball,Bronson,Matt Watkins
432,baseball,Concord,Max Clark
433,baseball,Homer,Scott Salow
434,baseball,Quincy,Brett Allman
435,baseball,Academy for Sciences & Agriculture,Paul Peterson
436,baseball,Ada-Borup/Norman County West,Mike Gullingsrud
437,baseball,Adrian,Kevin Nowotny
438,baseball,Alden-Conger,Sam Hintz
439,baseball,B O L D,Brian Kingery
440,baseball,Badger/Greenbush-Middle River,Todd Wensloff
441,baseball,Barnum,David Duesler
442,baseball,Belgrade-Brooten-Elrosa,Pat Illies
443,baseball,Blackduck,Rick Olhava
444,baseball,Blooming Prairie,Matt Kittelson
445,baseball,Braham,Aitor Leniz
446,baseball,Brandon/Evansville,Brian Perleberg
447,baseball,Browerville,Matt Middendorf
448,baseball,Buffalo Lake-Hector-Stewart,Dylan Gass
449,baseball,Carlton,Ryan Schmidt
450,baseball,Cedar Mountain/Comfrey,Paul Ebeling
451,baseball,Chatfield,Brian Baum
452,baseball,Chisholm,Tim Provinzino
453,baseball,Clinton-Graceville-Beardsley,Mike Swenson
454,baseball,Columbia Heights,Dan Shuck
455,baseball,Cook County,Arleigh Jorgenson
456,baseball,Dawson-Boyd,Preston Schwegel
457,baseball,East Central,Eric Ganske
458,baseball,Ely,Frank Ivancich
459,baseball,Fertile-Beltrami,Jeremy Reiter
460,baseball,Fillmore Central,Ryan Scheevel
461,baseball,Floodwood,Brad Hyduke
462,baseball,Fosston,Ryan Hanlon
463,baseball,Frazee,Dustin Geiser
464,baseball,Goodhue,Bob Bitzan
465,baseball,Hancock,Chad Christianson
466,baseball,Hayfield,Craig Selk
467,baseball,Heritage Christian Academy,Dan Campion
468,baseball,Hillcrest Lutheran Academy,Steven Undseth
469,baseball,Hinckley-Finlayson,Jay Kreger
470,baseball,Houston,Jason Carrier
471,baseball,Isle,Daniel Mans
472,baseball,Janesville-Waldorf-Pemberton,Scott Kaminski
473,baseball,Kelley,Ward Kaiser
474,baseball,Kelliher/Northome,Dan Alto
475,baseball,Kenyon-Wanamingo,Randy Hockinson
476,baseball,Kimball,Adam Beyer
477,baseball,Lac qui Parle Valley,Bart Hill
478,baseball,Lake Crystal-Wellcome Memorial,John Madsen
479,baseball,Lake Park-Audubon,Mike Baune
480,baseball,Laporte,Randy Reimer
