,sport,school,coach
432,Basketball,Genoa-Kingston,Brendan Royalty
433,Basketball,Oregon,Wendy Lambrigtsen
434,Basketball,Rockford Christian,Chris Bork
435,Basketball,Peoria,Demetrius Edwards
436,Basketball,Richwoods,Todd Hursey
437,Basketball,Normal West,Corey Ostling
438,Basketball,Normal Community,Marcus Mann
439,Basketball,Urbana,Chris Mennig
440,Basketball,Danville,Zack Patterson
441,Basketball,Champaign Central,Pancho Moore
442,Basketball,Peoria Notre Dame,Layne Langholf
443,Basketball,Bloomington,Tom Whiting
444,Basketball,Centennial,Jeff Carleton
445,Basketball,Eldorado,Wendy Kmucha
446,Basketball,Hamilton County,Clint Winemiller
447,Basketball,Fairfield,Tonya Conrad
448,Basketball,Carmi-White County,Clinton Wolff
449,Basketball,Edwards County,Johnathan Henton
450,Basketball,Goreville,Mike Helton
451,Basketball,Chester,Pat Knowles
452,Basketball,Sesser-Valier/Waltonville,Rick Metcalf
453,Basketball,Vienna,Jamie Kerley
454,Basketball,Trico,Tony Berry
455,Basketball,Knox,Neill Minix
456,Basketball,Angola,Brandon Appleton
457,Basketball,Brownstown Central,Brandon Allman
458,Basketball,Benton Central,David Baxter
459,Basketball,Salem,Jerry Hickey
460,Basketball,Greensburg,Jason Simpson
461,Basketball,Winchester Community,Holly Gutierrez
462,Basketball,Evansville Memorial,Lee Auker
463,Basketball,Lawrenceburg,Zane White
464,Basketball,Washington,Gretchen Miles
465,Basketball,Silver Creek,Scott Schoen
466,Basketball,Gibson Southern,Kyle Brasher
467,Basketball,Norwell,Eric Thornton
468,Basketball,Mishawaka Marian,Steve Scott
469,Basketball,Vincennes Lincoln,Travis Connor
470,Basketball,Danville,Kaley May
471,Basketball,Tri-West Hendricks,Tom Gliva
472,Basketball,Edgewood,Gary Sims
473,Basketball,Yorktown,Joy Matthews
474,Basketball,Woodlan,Gary Cobb
475,Basketball,Sullivan,Julie Meeks
476,Basketball,South Bend Washington,Karis Phillips
477,Basketball,Heritage Hills,Kim Brown
478,Basketball,Tippecanoe Valley,Chris Kindig
479,Basketball,Brown County,Matt Roberts
480,Basketball,Speedway,Joe Smith
481,Basketball,Heritage Christian,rick risinger
482,Basketball,Oak Hill,Rodger Cameron
483,Basketball,Bellmont,Andy Heim
484,Basketball,West Lafayette,Jane Schott
485,Basketball,Fort Wayne Bishop Luers,mark pixley
486,Basketball,Garrett,Bob Lapadot
487,Basketball,South Bend St. Joseph,Becca Bruszewski
488,Basketball,Hanover Central,Luis Roldan
489,Basketball,Lebanon,Candice Huckstep
490,Basketball,Mt. Vernon,Doug Blair
491,Basketball,Griffith,Dustin Nelson
492,Basketball,Lakeland,Daniel Huizenga
493,Basketball,Boonville,Jason Gansman
494,Basketball,Indianapolis Cardinal Ritter,Tom Downard
495,Basketball,Central Noble,Josh Treesh
496,Basketball,Jay County,Kirk Comer
497,Basketball,Fort Wayne Concordia Lutheran,Dave Miller
498,Basketball,Indian Creek,Brian Ferris
499,Basketball,Heritage,Melissa Connor
500,Basketball,Eastern,Andy Steele
501,Basketball,Mississinewa,Laura Friday
502,Basketball,Peru,David Weeks
503,Basketball,North Harrison,Barry Geltmaker
504,Basketball,Charlestown,scott matthews
505,Basketball,Kankakee Valley,Douglas Nelson
506,Basketball,Hamilton Heights,Keegan Cherry
507,Basketball,Rushville,Melissa Marlow
508,Basketball,Indianapolis Bishop Chatard,Katie Fisher
509,Basketball,Scottsburg,Donna Cheatham
510,Basketball,South Vermillion,scott jones
511,Basketball,Corydon Central,Michael Uhl
512,Basketball,Wheeler,Amanda Gibson
513,Basketball,Indianapolis Washington,Damon Lee
514,Basketball,Greencastle,Kellie Kirkhoff
515,Basketball,West Noble,Dale Marano
516,Basketball,Fort Wayne Bishop Dwenger,Steve Wiktorowski
517,Basketball,West Vigo,Jon Kirchoff
518,Basketball,North Montgomery,Ryan Nuppnau
519,Basketball,Calumet New Tech,Trevor Borom
520,Basketball,Western,Lisa Pflueger
521,Basketball,Glenn,Kyle Amor
522,Basketball,Maconaquah,Pete Hatcher
523,Basketball,Guerin Catholic,Marc Quaranta
524,Basketball,Twin Lakes,Brad Bowsman
525,Basketball,Franklin County,Joe Adams
526,Basketball,Wawasee,Matt Carpenter
527,Basketball,Monrovia,Kevin Rounds
528,Basketball,Northview,zack keyes
529,Basketball,Pike Central,Randy Graham
530,Basketball,Indianapolis Shortridge,Michael Fox
531,Basketball,Beech Grove,Kristin Raker
532,Basketball,Princeton,Charles Mair
533,Basketball,Batesville,Bryan Helvie
534,Basketball,South Bend Clay,Mark Westendorp
535,Basketball,Owen Valley,Trace Temples
536,Basketball,Indianapolis Emmerich Manual,Jim Sturgeon
537,Basketball,Crawfordsville,Tyler Smith
538,Basketball,Brebeuf Jesuit Preparatory,Erin Miller
539,Basketball,Muncie Burris,David Harman
540,Basketball,Delta,Andy Lewman
541,Basketball,River Forest,Brad Redelman
542,Basketball,South Dearborn,Doug Robertson
543,Basketball,New Prairie,Todd Dermody
544,Basketball,Herron,Lisa Myers
545,Basketball,Hammond,Eundee Kyles
546,Basketball,Leo,Carrie Shappell
547,Basketball,New Castle,Molly Swift
548,Basketball,Evansville Bosse,Garland Copeland
549,Basketball,Frankfort,Joe Marsh
550,Basketball,Hammond Gavit,Alana Anderson
551,Basketball,Hammond Clark,Okeisha Howard
552,Basketball,Culver Academies,Gary Christlieb
553,Basketball,Jimtown,Alicia Harkins
554,Basketball,Northwestern,Kathie Layden
555,Basketball,Crown Point,Chris Seibert
556,Basketball,Homestead,Rod parker
557,Basketball,Fishers,Will Staal
558,Basketball,Mt. Vernon,Julie Shelton
559,Basketball,Penn,Kristi Ulrich
560,Basketball,Hamilton Southeastern,Chris Huppenthal
561,Basketball,Harrison,Rush McColley
562,Basketball,Lawrence North,Chris Giffin
563,Basketball,Martinsville,Jessi Johnson
564,Basketball,East Central,Kevin Moore
565,Basketball,Munster,Jim Davidson
566,Basketball,Bedford North Lawrence,Jeff Allen
567,Basketball,Center Grove,Kevin Stuckmeyer
568,Basketball,Evansville North,Tyler Choate
569,Basketball,Portage,Marc Bruner
570,Basketball,Goshen,Shaun Hill
571,Basketball,Chesterton,Marney Sisson
572,Basketball,Carroll,mark redding
573,Basketball,Roncalli,Stan Benge
574,Basketball,LaPorte,Rob Walker
575,Basketball,Brownsburg,Debbie Guckenberger
576,Basketball,Warren Central,Stacy Mitchell
577,Basketball,Marion,Lawrence Jordan
578,Basketball,New Palestine,Sarah Gizzi
579,Basketball,Castle,bob meier
580,Basketball,Warsaw,Lenny Krebs
581,Basketball,Mooresville,Mark Hurt
582,Basketball,Columbus East,danny brown
583,Basketball,Huntington North,Matt Hinds
584,Basketball,Concord,Cassie Cepeda
585,Basketball,Columbia City,Amy Shearer
586,Basketball,Elkhart Central,william coatie
587,Basketball,Carmel,Erin Trimpe
588,Basketball,Columbus North,Patrick McKee
589,Basketball,Fort Wayne South Side,Juanita Goodwell
590,Basketball,Lawrence Central,Antoine Wynne
591,Basketball,North Central,DeeAnn Ramey
592,Basketball,Bloomington South,Larry Winters
593,Basketball,Merrillville,Amy Govert
594,Basketball,Lowell,Kelly Chavez
595,Basketball,Cathedral,Lisa Finn
596,Basketball,Lake Central,Joe Huppenthal
597,Basketball,Valparaiso,Candy Wilson
598,Basketball,Fort Wayne Northrop,Rashida Muhammad
599,Basketball,Anderson,Shannon Cleckley
600,Basketball,Westfield,ginny smith
601,Basketball,Jeffersonville,Michael Warren
602,Basketball,McCutcheon,Jeff Knoy
603,Basketball,Franklin Central,Vince Cerbone
604,Basketball,Pendleton Heights,Chad Cook
605,Basketball,South Bend Riley,Suntana Anderson
606,Basketball,Ben Davis,Joe Lentz
607,Basketball,Plymouth,David Duncan
608,Basketball,Richmond,Shane Hillard
609,Basketball,Jasper,Jessica Mehringer
610,Basketball,Decatur Central,Daryl Gibbs
611,Basketball,Southport,Adam morelock
612,Basketball,Plainfield,Curt Benge
613,Basketball,Avon,Corie West
614,Basketball,Terre Haute North Vigo,Mike Allen
615,Basketball,Michigan City,Mike Megyese
616,Basketball,Whiteland,Kyle Shipp
617,Basketball,Noblesville,Donna Buckley
618,Basketball,Greenfield-Central,Bradley Key
619,Basketball,Hobart,Tim Feddeler
620,Basketball,Franklin Community,josh sabol
621,Basketball,Northridge,Douglas Springer
622,Basketball,Jennings County,Kristi Sigler
623,Basketball,Highland,Tracie Mezera
624,Basketball,Evansville Reitz,Gary Loveless
625,Basketball,East Noble,DeAnn Booth
626,Basketball,Indianapolis Crispus Attucks,James Banks
627,Basketball,Bloomington North,Jeff Turmail
628,Basketball,Terre Haute South Vigo,Will Staal
629,Basketball,Seymour,Jason Longmeier
630,Basketball,Perry Meridian,Mike Armstrong
631,Basketball,Muncie Central,Ronnie Howell
632,Basketball,New Albany,Tammy Geron
633,Basketball,South Bend Adams,Leon Scott
634,Basketball,Evansville Central,David Alexander
635,Basketball,Zionsville,Andy Maguire
636,Basketball,Indianapolis Arsenal Technical,Kevin Merriweather
637,Basketball,Logansport,Meranda Cooper
638,Basketball,Floyd Central,Kirk Hamsley
639,Basketball,Greenwood,Justin Bennett
640,Basketball,Fort Wayne Snider,Gregory Addison
