,sport,school,coach
316,football,Herreid/Selby,Clayton Randall
317,football,Hitchcock-Tulare,Clint Nelson
318,football,Irene/Wakonda,Chris Torgerson
319,football,Kadoka,Chad Eisenbraun
320,football,Langford,Paul Raasch
321,football,Lower Brule,Zeke Prado
322,football,Scotland,Ryan Robb
323,football,St. Francis Indian,Dave Brushbreaker
324,football,St. Mary,Ross Flemmer
325,football,Sunshine Bible Academy,Jamie McClain
326,football,Tiospa Zina,Michael Peters
327,football,Waverly/South Shore,Nathan Lamb
328,football,Belle Fourche,Scott Slotten
329,football,Canton,Rich Lundstrom
330,football,Custer,Russ Bailey
331,football,Dakota Valley,Jeff VanDenHul
332,football,Dell Rapids,Dane Stone
333,football,Lennox,Matthew Luze
334,football,Madison,Max Hodgen
335,football,Milbank,Adolph Shepardson
336,football,Pine Ridge,Dennis Dolezal
337,football,Sioux Falls Christian,Jake Pettengill
338,football,Tea,Craig Clayberg
339,football,Todd County,Bob Boyd
340,football,Tri-Valley,Brad Mcdonald
341,football,Vermillion,Andrew Homan
342,football,Brookings,Lee Schmidt
343,football,Douglas,Dan Maciejczak
344,football,Huron,Michael Schmitz
345,football,Mitchell,Kent Van Overschelde
346,football,Riggs,Steve Steele
347,football,Spearfish,Chad McCarty
348,football,Sturgis Brown,Chris Koletzky
349,football,Aberdeen Central,Mitch Kranz
350,football,Brandon Valley,Chad Garrow
351,football,Harrisburg,Brandon White
352,football,Lincoln,Aaron Beavers
353,football,O'Gorman,Jayson Poppinga
354,football,Rapid City Central,Erik Iverson
355,football,Roosevelt,Kim Nelson
356,football,Stevens,Scott Hagen
357,football,Washington,Chad Stadem
358,football,Clay County,Jake Johnson
359,football,Cloudland,Mike Lunsford
360,football,Coalfield,Keith Henry
361,football,Collinwood,Scotty Hannah
362,football,Copper Basin,Chad Grabowski
363,football,Cornersville,Gerard Randolph
364,football,Dresden,Levi Estes
365,football,Freedom Prep Academy,Jerald Cook
366,football,Gleason,Jamie Roney
367,football,Greenback,Brent Kilpatrick
368,football,Greenfield,don pitt
369,football,Hancock County,Phil Blevins
370,football,Harriman,Travis Tapp
371,football,Huntingdon,Eric Swenson
372,football,Huntland,Bob Robertson
373,football,Jo Byrns,Tom Adkins
374,football,Lookout Valley,David Dinger
375,football,Memphis Academy of Science and Engineering,Julius Jackson Jr.
376,football,Middle College,LeNorris Staples
377,football,Midway,Craig Moser
378,football,Monterey,Scott Hughes
379,football,Moore County,jason dobbs
380,football,Mt. Pleasant,bronson bradley
381,football,Oakdale,J.R. Voyles
382,football,Oliver Springs,LARRY GREEN
383,football,Pickett County,Ray Reagan
384,football,Red Boiling Springs,Kyle Shoulders
385,football,Richland,Joe Moos
386,football,Sale Creek,Ron Cox
387,football,Unaka,O'Brien Bennett
388,football,West Carroll,Josh Wolfe
389,football,Adamsville,Brandon Gray
390,football,Bledsoe County,Josh Owensby
391,football,Cascade,Jake Tyre
392,football,Community,Chris Grooms
393,football,Cumberland Gap,George Surber
394,football,Douglass,Preston Harris
395,football,Eagleville,Anthony Griffin
396,football,East Robertson,Chad Broadrick
397,football,Fairley,Gene Robinson
398,football,Forrest,Brent Johns
399,football,Hampton,Andy Oneill
400,football,Hickman County,bob winston
401,football,Hillcrest,Lorenzo Barnes
402,football,Houston County,Orman Meadow
403,football,Jackson County,Sean Loftis
404,football,KIPP Collegiate,G.Benjamin Myles
405,football,Lewis County,Barry Churchwell
406,football,Loretto,James Rose
407,football,Manassas,Carl Coleman
408,football,Marion County,Paul Underwood
409,football,McKenzie,Wade Comer
410,football,Memphis Academy of Health Sciences,Cedric Miller
411,football,Oneida,Tony Lambert
412,football,Peabody,Shane Jacobs
413,football,Polk County,Derrick Davis
414,football,Riverside,Johnnie Frost
415,football,Rockwood,John Webb
416,football,Scotts Hill,Jeff Robertson
417,football,South Greene,Shawn Jones
418,football,Tellico Plains,John Mullinax
419,football,Trezevant,Antoine Wellington
420,football,Trousdale County,Brad Waggoner
421,football,Tyner Academy,Wayne Turner
422,football,Union City,Darren Bowling
423,football,Wartburg Central,Kevin Human
424,football,Watertown,gavin webster
425,football,Alcoa,Gary Rankin
426,football,Austin-East,Jeff Phillips
427,football,Brainerd,Brian Gwyn
428,football,Camden Central,Kevin Ward
429,football,Cannon County,Mathew Murdock
430,football,Chuckey-Doak,Ben Murphy
431,football,Claiborne,Nathan Medlin
432,football,Covington,Josh McIntyre
433,football,Fairview,Chris Hughes
434,football,Gatlinburg-Pittman,Derek Rang
435,football,Giles County,David O'Connor
436,football,Harpeth,Doug Loope
437,football,Johnson County,Don Kerley
438,football,King Prep,Greg Howard
439,football,Loudon,B. Tripp
440,football,McMinn Central,Josh Goodin
441,football,McNairy Central,Brian Franks
442,football,Milan,Craig Pettigrew
443,football,Pearl-Cohn,Darrin Fleming
444,football,Pigeon Forge,Adrian Watson
445,football,Raleigh-Egypt,Terry Smith II
446,football,RePublic,Ron Lambert
447,football,Sequatchie County,Mark Wattenbarger
448,football,Signal Mountain,Josh Roberts
449,football,Smith County,SCOTT MURRAY
450,football,South Gibson,Scott Stidham
451,football,Stewart County,Chanz Swartz
452,football,Stratford,Thomas Porter
453,football,Sycamore,Justin Robison
454,football,Unicoi County,Brian Laughren
455,football,Upperman,Adam Caine
456,football,West Greene,Heath Boles
457,football,Westview,Jarod Neal
458,football,Whites Creek,Clifton Davis
459,football,Wooddale,Darren Stevens
460,football,Anderson County,Davey Gillum
461,football,Chattanooga Central,Curt Jones
462,football,Chester County,Michael Hodum
463,football,Creek Wood,Houston Thiel
464,football,Crockett County,Eugenia Richard
465,football,DeKalb County,Steve Trapp
466,football,Elizabethton,Shawn Witten
467,football,Fayette Ware,Michael Hodum
468,football,Grainger,Mark Briscoe
469,football,Greeneville,Caine Ballard
470,football,Haywood,Steve Hookfin
471,football,Hixson,Gary Murray
472,football,Jackson North Side,JESSE POWELL
473,football,Jackson South Side,Tyler Reeder
474,football,Lawrence County,David Marston
475,football,Lexington,Bryant Hollingsworth
476,football,Liberty Tech Magnet,Scott Akin
477,football,Livingston Academy,Bruce Lamb
478,football,Macon County,Nathan Wilson
479,football,Maplewood,Arcentae Broome
480,football,Marshall County,Thomas Osteen
481,football,Millington Central,chris michael
482,football,Ripley,Justin Cruse
483,football,Sequoyah,Bobby White
484,football,Spring Hill,Ben Martin
485,football,Springfield,Dustin Wilson
486,football,Stone Memorial,Mark Wattenbarger
487,football,Sullivan East,Mike Locke
488,football,Sullivan South,Justin Hilton
489,football,Tullahoma,John Olive
490,football,Union County,Josh Kerr
491,football,White House,Brian Burton
492,football,Beech,Anthony Crabtree
493,football,Campbell County,Justin Price
494,football,Cherokee,Cody Baugh
495,football,Clarksville,Isaac Shelby
496,football,Clinton,Darell Keith
497,football,Cocke County,Caleb Slover
498,football,David Crockett,Hayden Chandley
499,football,Dyer County,David Whittle
500,football,Fulton,Rob Black
501,football,Glencliff,Tate Thigpen
502,football,Henry County,Michael Ainley
503,football,Hillwood,Kurt Page
504,football,Hunters Lane,Michael Murray
505,football,Karns,Brad Taylor
506,football,Kingsbury,Quintin Jones
507,football,Kirby,Chester Flowers
508,football,Knoxville Central,Bryson Rosser
509,football,Lenoir City,Jeff Cortez
